"REF_DATE","GEO","DGUID","Sector","Fare type group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-04","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","x","","t","2"
"2007-04","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","335.70","","","","2"
"2007-04","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","2654.70","E","","t","2"
"2007-04","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","324.00","","","t","2"
"2007-04","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","339.30","","","t","2"
"2007-04","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","102.10","E","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","261.20","","","","2"
"2007-07","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","2496.30","","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","297.00","","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","261.00","","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","","F","","t","2"
"2007-07","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","200.60","","","","2"
"2007-07","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","1490.60","","","t","2"
"2007-07","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","292.70","","","t","2"
"2007-07","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","198.30","","","t","2"
"2007-07","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","16.20","E","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","144.10","","","","2"
"2007-07","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","822.00","E","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","214.40","","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","141.70","","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","16.00","E","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2007-07","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","","x","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","x","","t","2"
"2007-07","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","372.50","","","","2"
"2007-07","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","2806.10","","","t","2"
"2007-07","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","362.80","","","t","2"
"2007-07","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","372.40","","","t","2"
"2007-07","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","","F","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","247.30","","","","2"
"2007-10","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","3217.80","E","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","280.50","","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","245.60","","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","","F","","t","2"
"2007-10","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","194.80","","","","2"
"2007-10","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","1780.80","E","","t","2"
"2007-10","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","268.90","","","t","2"
"2007-10","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","192.30","","","t","2"
"2007-10","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","26.60","E","","t","2"
"2007-10","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","143.20","","","","2"
"2007-10","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","901.90","E","","t","2"
"2007-10","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","203.90","","","t","2"
"2007-10","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","141.00","","","t","2"
"2007-10","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","34.80","E","","t","2"
"2007-10","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2007-10","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2007-10","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
"2007-10","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","","x","","t","2"
"2007-10","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","x","","t","2"
"2007-10","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","340.30","","","","2"
"2007-10","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","3355.40","E","","t","2"
"2007-10","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","347.30","","","t","2"
"2007-10","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","337.70","","","t","2"
"2007-10","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","","F","","t","2"
"2008-01","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","252.30","","","","2"
"2008-01","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","3587.60","E","","t","2"
"2008-01","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","288.20","","","t","2"
"2008-01","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","250.50","","","t","2"
"2008-01","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","","F","","t","2"
"2008-01","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","190.30","","","","2"
"2008-01","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","1890.10","E","","t","2"
"2008-01","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","268.20","","","t","2"
"2008-01","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","187.60","","","t","2"
"2008-01","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","","F","","t","2"
"2008-01","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","137.60","","","","2"
"2008-01","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","589.00","E","","t","2"
"2008-01","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","206.70","","","t","2"
"2008-01","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","135.20","","","t","2"
"2008-01","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","","F","","t","2"
"2008-01","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","244.70","","","","2"
"2008-01","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","2165.40","E","","t","2"
"2008-01","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","328.40","","","t","2"
"2008-01","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","242.00","","","t","2"
"2008-01","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","F","","t","2"
"2008-01","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","332.20","","","","2"
"2008-01","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","3796.90","E","","t","2"
"2008-01","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","345.80","","","t","2"
"2008-01","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","330.30","","","t","2"
"2008-01","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","","F","","t","2"
"2008-04","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","255.10","","","","2"
